Image_Name,Ratio,Original_KB,Compressed_KB,Compression_Ratio
cat.png,4:1:0,768.0,30.439,25.23
cat.png,4:2:0,768.0,32.737,23.459
cat.png,4:4:0,768.0,36.635,20.964
cat.png,4:2:2,768.0,36.753,20.896
cat.png,4:4:4,768.0,43.825,17.524
dog.png,4:4:4,768.0,37.805,20.315
dog.png,4:4:0,768.0,32.988,23.281
dog.png,4:2:2,768.0,33.053,23.236
dog.png,4:2:0,768.0,30.479,25.198
dog.png,4:1:0,768.0,29.022,26.462

red_cat.png,4:4:4,768.0,66.18,11.605
red_cat.png,4:4:0,768.0,59.712,12.862
red_cat.png,4:2:2,768.0,60.188,12.76
red_cat.png,4:2:0,768.0,56.708,13.543
red_cat.png,4:1:0,768.0,54.844,14.003
