Image_Name,Ratio,Original_KB,Compressed_KB,Compression_Ratio
cat.png,4:4:4,768.0,37.002,20.756
cat.png,4:4:0,768.0,31.743,24.194
cat.png,4:2:2,768.0,31.738,24.198
cat.png,4:2:0,768.0,28.731,26.73
cat.png,4:1:0,768.0,26.869,28.583
red_cat.png,4:4:4,768.0,56.815,13.517
red_cat.png,4:4:0,768.0,52.114,14.737
red_cat.png,4:2:2,768.0,52.585,14.605
red_cat.png,4:2:0,768.0,49.88,15.397
red_cat.png,4:1:0,768.0,48.468,15.846
dog.png,4:4:4,768.0,32.294,23.782
dog.png,4:4:0,768.0,28.934,26.544
dog.png,4:2:2,768.0,28.982,26.499
dog.png,4:2:0,768.0,27.111,28.328
dog.png,4:1:0,768.0,25.97,29.573
images/cat.png,8:1:0,768.0,25.679,29.908
images/cat.png,8:1:0,768.0,25.679,29.908
images/cat.png,4:1:0:0:0,768.0,25.764,29.809
images/cat.png,4:1:0,768.0,26.869,28.583
images/cat.png,8:1:0,768.0,25.679,29.908
images/cat.png,8:1:0,768.0,25.679,29.908
images/cat.png,8:1:0,768.0,25.679,29.908
images/cat.png,4:1:0:0:0,768.0,25.764,29.809
images/cat.png,8:1:0:0:0,768.0,25.095,30.604
images/cat.png,8:1:0:0:0,768.0,25.095,30.604
images/cat.png,8:1:0:0:0,768.0,25.095,30.604
images/cat.png,8:1:0:0:0,768.0,25.095,30.604
images/cat.png,16:1:0:0:0,768.0,25.096,30.603
images/cat.png,16:1:0:0:0,768.0,25.096,30.603
images/cat.png,16:1:0:0:0,768.0,25.096,30.603
images/cat.png,16:1:0:0:0,768.0,25.096,30.603
images/cat.png,16:1:0:0:0,768.0,25.096,30.603
images/cat.png,16:1:0:0:0,768.0,25.096,30.603
images/cat.png,16:1:0:0:0,768.0,25.096,30.603
images/cat.png,16:1:0:0:0,768.0,25.096,30.603
images/cat.png,16:1:0:0:0,768.0,25.096,30.603
images/cat.png,16:1:0:0:0,768.0,25.096,30.603
images/cat.png,16:1:0:0:0,768.0,25.096,30.603
images/cat.png,16:1:0:0:0,768.0,25.096,30.603
images/cat.png,final,768.0,24.729,31.056
