Experiment,Epoch,Loss,Accuracy
Frozen Encoder,1,0.6302,63.44
Frozen Encoder,2,0.6033,67.1
Frozen Encoder,3,0.5865,68.62
Frozen Encoder,4,0.5762,69.13
Frozen Encoder,5,0.5677,69.89
Frozen Encoder,6,0.5552,71.01
Frozen Encoder,7,0.5437,72.02
Frozen Encoder,8,0.5321,72.84
Frozen Encoder,9,0.5241,73.58
Frozen Encoder,10,0.5125,74.52
Frozen Encoder,11,0.5008,75.14
Frozen Encoder,12,0.4909,75.47
Frozen Encoder,13,0.4805,76.1
Frozen Encoder,14,0.4716,77.03
Frozen Encoder,15,0.4653,77.55
Frozen Encoder,16,0.4522,78.11
Frozen Encoder,17,0.4402,78.62
Frozen Encoder,18,0.4333,79.19
Frozen Encoder,19,0.4181,80.17
Frozen Encoder,20,0.4103,80.59
Frozen Encoder,21,0.4013,80.86
Frozen Encoder,22,0.3919,81.36
Frozen Encoder,23,0.3821,82.37
Frozen Encoder,24,0.37,82.76
Frozen Encoder,25,0.3655,83.39
Frozen Encoder,26,0.3565,83.76
Frozen Encoder,27,0.3465,84.08
Frozen Encoder,28,0.34,84.58
Frozen Encoder,29,0.3312,85.13
Frozen Encoder,30,0.325,85.18
Frozen Encoder,31,0.3214,85.5
Frozen Encoder,32,0.3077,86.18
Frozen Encoder,33,0.3107,86.03
Frozen Encoder,34,0.294,86.88
Frozen Encoder,35,0.2923,86.85
Frozen Encoder,36,0.2874,86.96
Frozen Encoder,37,0.2785,87.66
Frozen Encoder,38,0.2735,88.2
Frozen Encoder,39,0.2667,88.35
Frozen Encoder,40,0.2576,88.67
Frozen Encoder,41,0.2587,88.56
Frozen Encoder,42,0.2508,88.96
Frozen Encoder,43,0.245,89.33
Frozen Encoder,44,0.2467,89.21
Frozen Encoder,45,0.2384,89.89
Frozen Encoder,46,0.233,90.1
Frozen Encoder,47,0.2336,90.1
Frozen Encoder,48,0.2237,90.61
Frozen Encoder,49,0.2239,90.48
Frozen Encoder,50,0.219,90.55
Frozen Encoder,51,0.2116,91.01
Frozen Encoder,52,0.2135,90.97
Frozen Encoder,53,0.2071,91.39
Frozen Encoder,54,0.2077,91.32
Frozen Encoder,55,0.2087,91.25
Frozen Encoder,56,0.1983,91.87
Frozen Encoder,57,0.1959,92.12
Frozen Encoder,58,0.1916,92.03
Frozen Encoder,59,0.1837,92.51
Frozen Encoder,60,0.1934,91.89
Frozen Encoder,61,0.1877,92.24
Frozen Encoder,62,0.1803,92.69
Frozen Encoder,63,0.1844,92.42
Frozen Encoder,64,0.1779,92.57
Frozen Encoder,65,0.1743,92.96
Frozen Encoder,66,0.1777,92.8
Frozen Encoder,67,0.1733,92.99
Frozen Encoder,68,0.1723,92.9
Frozen Encoder,69,0.1679,93.23
Frozen Encoder,70,0.1679,93.18
Frozen Encoder,71,0.1625,93.33
Frozen Encoder,72,0.1621,93.35
Frozen Encoder,73,0.1585,93.45
Frozen Encoder,74,0.157,93.78
Frozen Encoder,75,0.1517,94.09
Frozen Encoder,76,0.1503,94.02
Frozen Encoder,77,0.1582,93.69
Frozen Encoder,78,0.1446,94.24
Frozen Encoder,79,0.1512,93.96
Frozen Encoder,80,0.1496,94.08
Frozen Encoder,81,0.1426,94.37
Frozen Encoder,82,0.142,94.29
Frozen Encoder,83,0.1439,94.43
Frozen Encoder,84,0.1422,94.45
Frozen Encoder,85,0.138,94.53
Frozen Encoder,86,0.1428,94.2
Frozen Encoder,87,0.1435,94.21
Frozen Encoder,88,0.137,94.44
Frozen Encoder,89,0.1364,94.78
Frozen Encoder,90,0.129,94.86
Frozen Encoder,91,0.1368,94.61
Frozen Encoder,92,0.1289,95.04
Frozen Encoder,93,0.1346,94.58
Frozen Encoder,94,0.1276,94.86
Frozen Encoder,95,0.129,94.9
Frozen Encoder,96,0.1261,95.15
Frozen Encoder,97,0.1244,95.22
Frozen Encoder,98,0.1245,95.17
Frozen Encoder,99,0.1259,95.08
Frozen Encoder,100,0.1272,95.13
Unfrozen Encoder,1,0.6407,62.16
Unfrozen Encoder,2,0.5861,68.71
Unfrozen Encoder,3,0.5571,71.26
Unfrozen Encoder,4,0.5276,73.61
Unfrozen Encoder,5,0.5088,74.72
Unfrozen Encoder,6,0.4792,76.63
Unfrozen Encoder,7,0.4533,78.26
Unfrozen Encoder,8,0.4261,80.19
Unfrozen Encoder,9,0.3892,82.45
Unfrozen Encoder,10,0.363,83.59
Unfrozen Encoder,11,0.3338,85.05
Unfrozen Encoder,12,0.2983,87.07
Unfrozen Encoder,13,0.2783,87.95
Unfrozen Encoder,14,0.2506,89.54
Unfrozen Encoder,15,0.2347,90.21
Unfrozen Encoder,16,0.2152,91.01
Unfrozen Encoder,17,0.199,91.78
Unfrozen Encoder,18,0.1859,92.34
Unfrozen Encoder,19,0.1762,92.9
Unfrozen Encoder,20,0.1594,93.55
Unfrozen Encoder,21,0.15,93.95
Unfrozen Encoder,22,0.1413,94.39
Unfrozen Encoder,23,0.1371,94.63
Unfrozen Encoder,24,0.1264,95.1
Unfrozen Encoder,25,0.1192,95.36
Unfrozen Encoder,26,0.1127,95.61
Unfrozen Encoder,27,0.1117,95.77
Unfrozen Encoder,28,0.1029,95.95
Unfrozen Encoder,29,0.1002,96.25
Unfrozen Encoder,30,0.0933,96.46
Unfrozen Encoder,31,0.0918,96.63
Unfrozen Encoder,32,0.0889,96.61
Unfrozen Encoder,33,0.0866,96.7
Unfrozen Encoder,34,0.0799,97.0
Unfrozen Encoder,35,0.0809,96.92
Unfrozen Encoder,36,0.0752,97.21
Unfrozen Encoder,37,0.0711,97.4
Unfrozen Encoder,38,0.0726,97.32
Unfrozen Encoder,39,0.0697,97.43
Unfrozen Encoder,40,0.0684,97.44
Unfrozen Encoder,41,0.0591,97.83
Unfrozen Encoder,42,0.0592,97.89
Unfrozen Encoder,43,0.0648,97.48
Unfrozen Encoder,44,0.0616,97.75
Unfrozen Encoder,45,0.0535,98.11
Unfrozen Encoder,46,0.0519,98.11
Unfrozen Encoder,47,0.0548,97.92
Unfrozen Encoder,48,0.0523,98.08
Unfrozen Encoder,49,0.0515,98.16
Unfrozen Encoder,50,0.053,98.11
Unfrozen Encoder,51,0.0486,98.25
Unfrozen Encoder,52,0.049,98.15
Unfrozen Encoder,53,0.0456,98.36
Unfrozen Encoder,54,0.0459,98.31
Unfrozen Encoder,55,0.0458,98.34
